01:43:00 PM IST 12/22/24   76
01:43:16 PM IST 12/22/24   76
01:44:00 PM IST 12/22/24   76
01:44:07 PM IST 12/22/24   76
01:45:16 PM IST 12/22/24   78
01:45:49 PM IST 12/22/24   82
08:25:37 PM IST 12/22/24   77
08:31:40 PM IST 12/22/24   78
08:32:24 PM IST 12/22/24   83
08:33:51 PM IST 12/22/24   57
08:48:17 PM IST 12/22/24   68
08:48:28 PM IST 12/22/24   68
08:48:38 PM IST 12/22/24   68
08:48:48 PM IST 12/22/24   68
08:48:58 PM IST 12/22/24   68
08:49:11 PM IST 12/22/24   68
08:49:21 PM IST 12/22/24   68
08:49:31 PM IST 12/22/24   69
08:49:41 PM IST 12/22/24   69
08:49:51 PM IST 12/22/24   97
08:50:36 PM IST 12/22/24   98
08:51:31 PM IST 12/22/24   25
